英特尔® 产品规格对比
2024/09/03 13:02:34
 ,Intel® Core™ i7-8559U Processor ,Intel® Core™ i7-8565U Processor ,Intel® Core™ i7-8569U Processor ,Intel® Core™ i7-8557U Processor 
基本要素
产品集,第八代智能英特尔® 酷睿™ i7 处理器,第八代智能英特尔® 酷睿™ i7 处理器,第八代智能英特尔® 酷睿™ i7 处理器,第八代智能英特尔® 酷睿™ i7 处理器
垂直市场,Mobile,Mobile,Mobile,Mobile
处理器编号,i7-8559U,i7-8565U,i7-8569U,i7-8557U
光刻,14 nm,14 nm,14 nm,14 nm

CPU 规格
内核数,4,4,4,4
总线程数,8,8,8,8
最大睿频频率,4.50 GHz,4.60 GHz,4.70 GHz,4.50 GHz
英特尔® 睿频加速技术 2.0 频率‡,4.50 GHz,,4.70 GHz,4.50 GHz
处理器基本频率,2.70 GHz,1.80 GHz,2.80 GHz,1.70 GHz
缓存,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache,8 MB Intel® Smart Cache
总线速度,4 GT/s,4 GT/s,4 GT/s,4 GT/s
TDP,28 W,15 W,28 W,15 W
Configurable TDP-up Frequency,,2.00 GHz,,
Configurable TDP-up,,25 W,,
可配置的 TDP-down 频率,1.90 GHz,800 MHz,,
可配置的 TDP-down,20 W,10 W,,

补充信息
状态,Discontinued,Discontinued,Discontinued,Discontinued
发行日期,Q2'18,Q3'18,Q2'19,Q3'19
提供嵌入式方案,否,否,否,否
数据表,立即查看,立即查看,立即查看,立即查看

内存规格
最大内存大小（取决于内存类型）,32 GB,64 GB,32 GB,32 GB
内存类型,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133,DDR4-2400 |  LPDDR3-2133
最大内存通道数,2,2,2,2
最大内存带宽,37.5 GB/s,37.5 GB/s,37.5 GB/s,37.5 GB/s
支持的 ECC 内存 ‡,否,否,否,否

GPU Specifications
GPU Name‡,Intel® Iris® Plus Graphics 655,Intel® UHD Graphics for 8th Generation Intel® Processors,Intel® Iris® Plus Graphics 655,Intel® Iris® Plus Graphics 645
显卡基本频率,300 MHz,300 MHz,300 MHz,300 MHz
